game_index,bet_type,model_prob,market_prob,kelly_fraction,fractional_kelly_used,bet_size,profit,expected_value,bankroll_before,bankroll_after
89,kelly,0.5183171578807675,0.4651162790697674,0.09946251255969585,0.0001989250251193917,0.1981463644577336,-0.1981463644577336,0.0226643555530657,996.0856575929008,995.887511228443
90,none,0.3314999154313748,0.4291845493562232,0.0,0.0,0.0,0.0,0.0,995.887511228443,995.887511228443
91,none,0.3700408290844201,0.574468085106383,0.0,0.0,0.0,0.0,0.0,995.887511228443,995.887511228443
92,none,0.5109375422322646,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,995.887511228443,995.887511228443
93,none,0.5451023325424569,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,995.887511228443,995.887511228443
94,kelly,0.8038879875495241,0.7297297297297297,0.2743855539332391,0.0005487711078664782,0.5465142928472224,0.20241270105452688,0.055539121101969485,995.887511228443,996.0899239294976
95,kelly,0.6766196304016474,0.5,0.3532392608032948,0.0007064785216065897,0.7037161368449318,0.7037161368449318,0.248580167994454,996.0899239294976,996.7936400663425
96,none,0.26673322781064324,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,996.7936400663425,996.7936400663425
97,none,0.36793568933547727,0.5,0.0,0.0,0.0,0.0,0.0,996.7936400663425,996.7936400663425
98,none,0.5860757715100511,0.6226415094339622,0.0,0.0,0.0,0.0,0.0,996.7936400663425,996.7936400663425
99,kelly,0.44229788674420967,0.3333333333333333,0.1634468301163145,0.000326893660232629,0.3258455214978925,-0.3258455214978925,0.1065168351928559,996.7936400663425,996.4677945448447
100,kelly,0.7215269216733748,0.6226415094339622,0.2620463424344434,0.0005240926848688868,0.5222414818283859,0.31650998898690064,0.08294028495798328,996.4677945448447,996.7843045338316
101,kelly,0.8271690122169565,0.6774193548387096,0.4642239378725652,0.0009284478757451305,0.9254622701205232,0.4406963191050111,0.20458178066087285,996.7843045338316,997.2250008529365
102,none,0.4618734618856096,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,997.2250008529365,997.2250008529365
103,kelly,0.6874970056730114,0.6428571428571429,0.12499161588443186,0.0002499832317688637,0.24928952851392494,-0.24928952851392494,0.01731061166223534,997.2250008529365,996.9757113244226
104,kelly,0.4719735597963536,0.4651162790697674,0.012820133532313331,2.5640267064626665e-05,0.025562723495304335,-0.025562723495304335,0.00037687515795831704,996.9757113244226,996.9501486009273
105,none,0.3923892004241805,0.5192307692307693,0.0,0.0,0.0,0.0,0.0,996.9501486009273,996.9501486009273
106,kelly,0.5835385373275589,0.4761904761904761,0.20493720762533982,0.00040987441525067967,0.4086243591918833,0.4494867951110718,0.09211656865452636,996.9501486009273,997.3996353960383
107,kelly,0.5202977313625727,0.4545454545454545,0.12054584083138346,0.00024109168166276692,0.24046475538746145,-0.24046475538746145,0.034784431354193374,997.3996353960383,997.1591706406508
108,none,0.40303006347076087,0.4273504273504273,0.0,0.0,0.0,0.0,0.0,997.1591706406508,997.1591706406508
109,kelly,0.5467445433166991,0.4545454545454545,0.16903166274728176,0.00033806332549456353,0.33710294527417933,0.4045235343290153,0.06837728562804055,997.1591706406508,997.5636941749798
110,none,0.47723621206944644,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,997.5636941749798,997.5636941749798
111,none,0.3575812175886405,0.6,0.0,0.0,0.0,0.0,0.0,997.5636941749798,997.5636941749798
112,kelly,0.5852817015052644,0.4651162790697674,0.22465709411853782,0.00044931418823707564,0.4482195214630094,-0.4482195214630094,0.11580004950194353,997.5636941749798,997.1154746535168
113,none,0.4531460908350501,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,997.1154746535168,997.1154746535168
114,kelly,0.8028619878093806,0.574468085106383,0.5367256713520443,0.0010734513427040886,1.0703549450978422,0.7928555148872902,0.4255459085130515,997.1154746535168,997.9083301684041
115,none,0.4556848102234815,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,997.9083301684041,997.9083301684041
116,none,0.24313067407267652,0.3623188405797101,0.0,0.0,0.0,0.0,0.0,997.9083301684041,997.9083301684041
117,kelly,0.627283905130674,0.5918367346938775,0.08684556757015133,0.00017369113514030266,0.17332783063291404,-0.17332783063291404,0.010381209535874819,997.9083301684041,997.7350023377711
118,kelly,0.8635441441060567,0.6666666666666666,0.5906324323181702,0.0011812648646363404,1.178589302479466,-1.178589302479466,0.3480565332138113,997.7350023377711,996.5564130352916
119,none,0.49104207538877775,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,996.5564130352916,996.5564130352916
120,kelly,0.7532054869284476,0.5555555555555556,0.444712345589007,0.000889424691178014,0.8863618799053836,0.7090895039243067,0.3153408565227238,996.5564130352916,997.265502539216
121,none,0.347362041291846,0.3773584905660377,0.0,0.0,0.0,0.0,0.0,997.265502539216,997.265502539216
122,kelly,0.6367966890271621,0.5555555555555556,0.18279255031111474,0.0003655851006222295,0.3645854090928775,-0.3645854090928775,0.053314797387446516,997.265502539216,996.900917130123
123,none,0.24770535879635686,0.4081632653061224,0.0,0.0,0.0,0.0,0.0,996.900917130123,996.900917130123
124,kelly,0.7348072372970129,0.6078431372549019,0.32375845510738305,0.0006475169102147661,0.6455102016503639,0.41645819461313804,0.13483186170475944,996.900917130123,997.3173753247362
125,none,0.41862955836230675,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,997.3173753247362,997.3173753247362
126,none,0.33603009042309673,0.6,0.0,0.0,0.0,0.0,0.0,997.3173753247362,997.3173753247362
127,kelly,0.8293459692409461,0.6078431372549019,0.5648322215644125,0.001129664443128825,1.1266339774189194,0.7268606305928513,0.41055430474546994,997.3173753247362,998.044235955329
128,none,0.4692031720070737,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,998.044235955329,998.044235955329
129,none,0.55499853786218,0.6062992125984252,0.0,0.0,0.0,0.0,0.0,998.044235955329,998.044235955329
130,none,0.5752413663238803,0.6078431372549019,0.0,0.0,0.0,0.0,0.0,998.044235955329,998.044235955329
131,none,0.4146367685629081,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,998.044235955329,998.044235955329
132,none,0.2969533967699146,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,998.044235955329,998.044235955329
133,kelly,0.7691506166153844,0.6078431372549019,0.41133407236923036,0.0008226681447384607,0.821059199960285,0.5297156128776033,0.2178900802425073,998.044235955329,998.5739515682066
134,none,0.1875154549938808,0.3952569169960474,0.0,0.0,0.0,0.0,0.0,998.5739515682066,998.5739515682066
135,none,0.15745587224718524,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,998.5739515682066,998.5739515682066
136,none,0.5052476137136623,0.6402877697841727,0.0,0.0,0.0,0.0,0.0,998.5739515682066,998.5739515682066
137,none,0.4103495697900708,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,998.5739515682066,998.5739515682066
138,kelly,0.6818913546676575,0.5918367346938775,0.22063381893576087,0.00044126763787152173,0.44063836884853386,-0.44063836884853386,0.06704808695770789,998.5739515682066,998.133313199358
139,kelly,0.5484315573336908,0.4166666666666667,0.22588266971489843,0.00045176533942979685,0.4509220350336957,0.6312908490471739,0.14259766234936058,998.133313199358,998.7646040484052
140,kelly,0.5691142205864776,0.3448275862068966,0.34233223142146585,0.0006846644628429317,0.6838186311373348,-0.6838186311373348,0.4447769999811506,998.7646040484052,998.0807854172679
141,none,0.35821940194862034,0.4761904761904761,0.0,0.0,0.0,0.0,0.0,998.0807854172679,998.0807854172679
142,kelly,0.7232789533159486,0.5652173913043478,0.36354159262668184,0.0007270831852533637,0.7256877566013661,0.5582213512318202,0.20293667906503426,998.0807854172679,998.6390067684997
143,none,0.4503625839409283,0.5327102803738317,0.0,0.0,0.0,0.0,0.0,998.6390067684997,998.6390067684997
144,kelly,0.7138736560273891,0.5454545454545454,0.370522043260256,0.0007410440865205121,0.7400355305345143,-0.7400355305345143,0.22849956404902988,998.6390067684997,997.8989712379652
145,none,0.3871543352905844,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,997.8989712379652,997.8989712379652
146,none,0.23506209400316921,0.3703703703703703,0.0,0.0,0.0,0.0,0.0,997.8989712379652,997.8989712379652
147,kelly,0.7168539117856084,0.5918367346938775,0.30629208387474066,0.0006125841677494813,0.6112971107938725,-0.6112971107938725,0.12912790753907827,997.8989712379652,997.2876741271713
148,none,0.4755861486689771,0.6226415094339622,0.0,0.0,0.0,0.0,0.0,997.2876741271713,997.2876741271713
149,none,0.16696911774683654,0.4385964912280701,0.0,0.0,0.0,0.0,0.0,997.2876741271713,997.2876741271713
150,kelly,0.5530075254232956,0.4444444444444444,0.19541354576193204,0.00039082709152386407,0.3897670410917215,0.4872088013646519,0.09520719940108746,997.2876741271713,997.7748829285359
151,kelly,0.6171951428390784,0.5555555555555556,0.13868907138792633,0.00027737814277585266,0.27676094393511114,0.22140875514808886,0.03070697464864519,997.7748829285359,997.996291683684
152,kelly,0.6408113622700999,0.5238095238095238,0.24570386076720982,0.0004914077215344197,0.4904230837960793,-0.4904230837960793,0.10954440463459778,997.996291683684,997.505868599888
153,kelly,0.7666324364875827,0.5238095238095238,0.5099281166239237,0.0010198562332478474,1.017312577792904,0.9248296161753671,0.47159662437433114,997.505868599888,998.4306982160633
154,none,0.6221396728143435,0.6835443037974683,0.0,0.0,0.0,0.0,0.0,998.4306982160633,998.4306982160633
155,kelly,0.7106170447276183,0.5238095238095238,0.39229579392799846,0.0007845915878559969,0.7833603268775128,0.7121457517068297,0.27937178305828203,998.4306982160633,999.1428439677702
156,none,0.38057032542669,0.392156862745098,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
157,none,0.4073511607962883,0.6226415094339622,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
158,none,0.35195227862015477,0.5,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
159,none,0.49302230439031247,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
160,none,0.4324964592407595,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
161,none,0.24026452378224084,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
162,none,0.4131835611313266,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
163,none,0.4358379347482349,0.6491228070175439,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
164,none,0.42494492240212833,0.5348837209302325,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
165,none,0.584588704533722,0.609375,0.0,0.0,0.0,0.0,0.0,999.1428439677702,999.1428439677702
166,kelly,0.40479933698587844,0.3508771929824561,0.08306924887013709,0.00016613849774027418,0.1659960911247505,-0.1659960911247505,0.02550996561945694,999.1428439677702,998.9768478766455
167,kelly,0.7206456335707232,0.6078431372549019,0.28764636560534423,0.0005752927312106885,0.5747041192311999,0.3707768511169032,0.10665261367437101,998.9768478766455,999.3476247277624
168,kelly,0.7127657676476136,0.6774193548387096,0.10957387970760218,0.00021914775941520438,0.21900479283599564,-0.21900479283599564,0.011427240393142732,999.3476247277624,999.1286199349264
169,kelly,0.7153287513044876,0.5348837209302325,0.3879568153046484,0.0007759136306092968,0.775237514939365,-0.775237514939365,0.2615292846961442,999.1286199349264,998.353382419987
170,none,0.46712348685595195,0.5495495495495496,0.0,0.0,0.0,0.0,0.0,998.353382419987,998.353382419987
171,none,0.35979732813115206,0.4081632653061224,0.0,0.0,0.0,0.0,0.0,998.353382419987,998.353382419987
172,none,0.4200365732044795,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,998.353382419987,998.353382419987
173,none,0.6562700920505296,0.6644295302013423,0.0,0.0,0.0,0.0,0.0,998.353382419987,998.353382419987
174,kelly,0.6805307131985141,0.5238095238095238,0.32911449771687956,0.0006582289954337591,0.6571451439982037,-0.6571451439982037,0.1966145399945957,998.353382419987,997.6962372759889
175,kelly,0.6230152893925688,0.609375,0.03491914084497608,6.983828168995217e-05,0.06967739085988588,0.04466499414095248,0.0015596632212479464,997.6962372759889,997.7409022701298
176,kelly,0.6896592293953824,0.4761904761904761,0.4075312561184573,0.0008150625122369146,0.813221206365818,-0.813221206365818,0.3645543657056721,997.7409022701298,996.927681063764
177,none,0.4500943297024011,0.6551724137931034,0.0,0.0,0.0,0.0,0.0,996.927681063764,996.927681063764
178,kelly,0.6195835103311899,0.5833333333333334,0.08700042479485558,0.00017400084958971117,0.17346626348459554,-0.17346626348459554,0.010779741864811551,996.927681063764,996.7542148002794
179,none,0.4838799969135509,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,996.7542148002794,996.7542148002794
180,none,0.2744531395363524,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,996.7542148002794,996.7542148002794
181,none,0.27901605466961554,0.425531914893617,0.0,0.0,0.0,0.0,0.0,996.7542148002794,996.7542148002794
182,kelly,0.8213673738836087,0.6491228070175439,0.49089701556828474,0.0009817940311365695,0.9786073386011325,-0.9786073386011325,0.25967320104460434,996.7542148002794,995.7756074616783
183,kelly,0.5745467239256781,0.574468085106383,0.00018480122534334512,3.6960245068669027e-07,0.000368041104851864,0.00027262304063101027,5.038107196543378e-08,995.7756074616783,995.7758800847189
184,none,0.2881276708321471,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,995.7758800847189,995.7758800847189
185,kelly,0.8230740976624618,0.6,0.5576852441561544,0.0011153704883123089,1.110659029619712,0.7404393530798081,0.41293210140513786,995.7758800847189,996.5163194377988
186,kelly,0.6864172754619967,0.6226415094339622,0.16900577997429134,0.00033801155994858266,0.33683403564739045,0.2041418397862973,0.03450115085847001,996.5163194377988,996.7204612775851
187,kelly,0.8042194989132592,0.6078431372549019,0.5007597222288109,0.001001519444457622,0.9982349226582716,0.6440225307472721,0.3225005436060999,996.7204612775851,997.3644838083324
188,kelly,0.3722565550910859,0.3333333333333333,0.05838483263662888,0.00011676966527325777,0.11646191692973448,-0.11646191692973448,0.013599219056967038,997.3644838083324,997.2480218914026
189,kelly,0.7394060715375423,0.588477366255144,0.3667567538362279,0.0007335135076724558,0.7314948945569807,0.511534891298588,0.1876088762066378,997.2480218914026,997.7595567827011
190,kelly,0.8862120565126614,0.6666666666666666,0.6586361695379843,0.0013172723390759687,1.3143210651985504,0.6571605325992752,0.43282969596272836,997.7595567827011,998.4167173153004
191,none,0.39297227049770345,0.4587155963302752,0.0,0.0,0.0,0.0,0.0,998.4167173153004,998.4167173153004
192,kelly,0.5404915628599238,0.3846153846153846,0.2532987896473763,0.0005065975792947526,0.5057954921193445,-0.5057954921193445,0.20498781754068637,998.4167173153004,997.9109218231811
193,none,0.3410634461980514,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,997.9109218231811,997.9109218231811
194,kelly,0.8303300716568547,0.6644295302013423,0.4943836135374269,0.0009887672270748537,0.9867016150388178,0.49833414900950385,0.24636823733641708,997.9109218231811,998.4092559721905
195,none,0.4892065815514927,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,998.4092559721905,998.4092559721905
196,kelly,0.5745090484911974,0.5,0.14901809698239488,0.00029803619396478976,0.2975620946691692,0.2975620946691692,0.04434213708169482,998.4092559721905,998.7068180668597
197,none,0.22069306750829468,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,998.7068180668597,998.7068180668597
198,kelly,0.6516119547184809,0.4926108374384236,0.3133711340568119,0.0006267422681136238,0.6259317763357638,-0.6259317763357638,0.2020334191103091,998.7068180668597,998.080886290524
199,kelly,0.46370414222822165,0.4545454545454545,0.016790927418406484,3.3581854836812965e-05,0.033517407438806004,-0.033517407438806004,0.0006753460266697778,998.080886290524,998.0473688830851
200,none,0.45429343281988077,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,998.0473688830851,998.0473688830851
201,kelly,0.5793697868936909,0.4878048780487805,0.1787695839353013,0.0003575391678706026,0.3568410257659026,-0.3568410257659026,0.06698193779257741,998.0473688830851,997.6905278573192
202,none,0.4887702926999852,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,997.6905278573192,997.6905278573192
203,none,0.27187242087582086,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,997.6905278573192,997.6905278573192
204,kelly,0.7690533685440883,0.5238095238095238,0.5150120739425855,0.0010300241478851712,1.0276453358093418,-1.0276453358093418,0.48113614152053974,997.6905278573192,996.6628825215099
205,kelly,0.719655513697445,0.7142857142857143,0.018794297941057303,3.7588595882114607e-05,0.0374631583218045,0.014985263328721798,0.00028163750372519475,996.6628825215099,996.6778677848387
206,kelly,0.6162206038430027,0.5633187772925764,0.12114518280047622,0.00024229036560095244,0.2414854449719663,0.18719801935811342,0.02267813827502574,996.6778677848387,996.8650658041968
207,kelly,0.8323807457961464,0.7333333333333333,0.37142779673554915,0.0007428555934710983,0.740526790068582,0.2692824691158481,0.10001899420320805,996.8650658041968,997.1343482733126
208,kelly,0.5162171124675413,0.4166666666666667,0.17065790708721368,0.0003413158141744274,0.34033772192219275,-0.34033772192219275,0.08131385265650015,997.1343482733126,996.7940105513904
209,kelly,0.5936410179478252,0.5555555555555556,0.08569229038260665,0.0001713845807652133,0.17083512360762565,0.1366680988861005,0.011711402415786512,996.7940105513904,996.9306786502765
210,kelly,0.6745330534920196,0.4878048780487805,0.36456453300822883,0.0007291290660164577,0.7268911346074295,0.7632356913378011,0.2782486633877782,996.9306786502765,997.6939143416143
211,none,0.30113896658611106,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,997.6939143416143,997.6939143416143
212,none,0.5370233100050607,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,997.6939143416143,997.6939143416143
213,kelly,0.4849563944341959,0.3846153846153846,0.16305414095556842,0.0003261082819111368,0.3253562482791408,-0.3253562482791408,0.08488109370829106,997.6939143416143,997.3685580933352
214,kelly,0.5318412685369722,0.5121951219512195,0.04027460050079303,8.054920100158607e-05,0.08033724045852213,0.07651165757954488,0.0030814764426696367,997.3685580933352,997.4450697509147
215,kelly,0.5287523020160287,0.5238095238095238,0.010379834233660302,2.0759668467320606e-05,0.020706628962392466,0.01882420814762951,0.00019539216015231065,997.4450697509147,997.4638939590624
216,kelly,0.8270765025249014,0.574468085106383,0.5936297809335183,0.0011872595618670366,1.1842485457200247,-1.1842485457200247,0.520744596123419,997.4638939590624,996.2796454133423
217,kelly,0.78807362630081,0.6598639455782312,0.3769364613243815,0.0007538729226487631,0.7510682480632298,0.38714858147589176,0.14593041630827666,996.2796454133423,996.6667939948182
218,none,0.3507155333518609,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,996.6667939948182,996.6667939948182
219,kelly,0.7988522173101213,0.75,0.1954088692404854,0.0003908177384809708,0.38951506244813444,0.1298383541493781,0.02537156596837563,996.6667939948182,996.7966323489676
220,kelly,0.6890454325047842,0.6666666666666666,0.06713629751435278,0.00013427259502870557,0.13384247054137044,0.06692123527068522,0.004492843961160717,996.7966323489676,996.8635535842383
221,none,0.4484938992370763,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,996.8635535842383,996.8635535842383
222,kelly,0.5788568921803815,0.4651162790697674,0.21264549407636552,0.000425290988152731,0.42395708575728364,-0.42395708575728364,0.10367544856323874,996.8635535842383,996.439596498481
223,kelly,0.7602328880963201,0.6363636363636364,0.34064044226488016,0.0006812808845297603,0.6788552496829626,0.3879172855331215,0.13214031570619433,996.439596498481,996.8275137840142
224,none,0.3082462172249649,0.4761904761904761,0.0,0.0,0.0,0.0,0.0,996.8275137840142,996.8275137840142
225,kelly,0.752915890249612,0.6363636363636364,0.3205186981864331,0.0006410373963728662,0.6390037140689419,0.36514497946796676,0.11703579346838455,996.8275137840142,997.1926587634821
226,none,0.42408834674614104,0.4878048780487805,0.0,0.0,0.0,0.0,0.0,997.1926587634821,997.1926587634821
227,none,0.6030841792822605,0.6575342465753424,0.0,0.0,0.0,0.0,0.0,997.1926587634821,997.1926587634821
228,kelly,0.46642238252080104,0.4081632653061224,0.09843781874204321,0.00019687563748408643,0.1963229403885116,-0.1963229403885116,0.02802212293026042,997.1926587634821,996.9963358230935
229,none,0.44972016152478783,0.5,0.0,0.0,0.0,0.0,0.0,996.9963358230935,996.9963358230935
230,none,0.5360385803841282,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,996.9963358230935,996.9963358230935
231,kelly,0.5177682643539132,0.4545454545454545,0.115908484648841,0.000231816969297682,0.23112066897140354,-0.23112066897140354,0.03214661581380214,996.9963358230935,996.7652151541222
232,none,0.6072998752578158,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,996.7652151541222,996.7652151541222
233,kelly,0.6999420185726288,0.5652173913043478,0.3098666427170464,0.0006197332854340928,0.6177285815938846,-0.6177285815938846,0.14724113976066167,996.7652151541222,996.1474865725284
234,none,0.5652495665479861,0.5918367346938775,0.0,0.0,0.0,0.0,0.0,996.1474865725284,996.1474865725284
235,none,0.6259789021236802,0.696969696969697,0.0,0.0,0.0,0.0,0.0,996.1474865725284,996.1474865725284
236,none,0.6712012675245154,0.7560975609756098,0.0,0.0,0.0,0.0,0.0,996.1474865725284,996.1474865725284
237,kelly,0.6795650267827077,0.5348837209302325,0.3110648075828216,0.0006221296151656433,0.6197328524695899,0.5388981325822522,0.16763224391844014,996.1474865725284,996.6863847051106
238,none,0.5076239926996156,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,996.6863847051106,996.6863847051106
239,kelly,0.6321810996258879,0.5833333333333334,0.1172346391021308,0.0002344692782042616,0.2336923372178223,-0.2336923372178223,0.019569169153332025,996.6863847051106,996.4526923678928
240,none,0.49737485299808665,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,996.4526923678928,996.4526923678928
241,none,0.5221513375396997,0.574468085106383,0.0,0.0,0.0,0.0,0.0,996.4526923678928,996.4526923678928
242,kelly,0.5002979847306395,0.4761904761904761,0.046023425394857306,9.204685078971462e-05,0.09172033229339684,-0.09172033229339684,0.004643412257546352,996.4526923678928,996.3609720355994
243,kelly,0.5549633440988739,0.4273504273504273,0.22284643670997398,0.00044569287341994794,0.4440709845900387,-0.4440709845900387,0.13260591299332108,996.3609720355994,995.9169010510094
244,kelly,0.7954659334193354,0.6875,0.34549098694187313,0.0006909819738837462,0.68816062611241,0.31280028459655,0.1080696790409609,995.9169010510094,996.2297013356059
245,none,0.5142413665234047,0.576271186440678,0.0,0.0,0.0,0.0,0.0,996.2297013356059,996.2297013356059
246,kelly,0.669096254780863,0.6363636363636364,0.09001470064737324,0.0001800294012947465,0.17935063668349324,0.10248607810485327,0.009225253641131671,996.2297013356059,996.3321874137108
247,kelly,0.8582991646410012,0.5,0.7165983292820024,0.0014331966585640048,1.4279399618210962,-1.4279399618210962,1.0232593909560037,996.3321874137108,994.9042474518897
